Cache Configuration	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
MSizeL1_32768_AssL1_4_MSizeLL_8388608_AssLL_4_Word_32.txt	128158187066	52359266951	20119603929	244574912	189740643	426970311	23339	425631	1667474	127913588815	52169100677	19690966144	0.429275565948 %	0.190838305066 %	0.850883776902 %	0.00105486195904 %	1.82110878238e-05 %	0.00288788301278 %
MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32.txt	128158187417	52359267076	20119604009	244574918	441183063	743997936	26959	478944	1713015	127913585540	51917605069	19373893058	0.712608093278 %	0.190838309225 %	1.63520896678 %	0.00110593626948 %	2.10357219803e-05 %	0.00302427309806 %
MSizeL1_16384_AssL1_2_MSizeLL_8388608_AssLL_1_Word_32.txt	128158186936	52359266921	20119603908	244574902	575869688	810956017	334403	1589687	2608239	127913277631	51781807546	19306039652	0.813110312309 %	0.190838297457 %	1.91342068266 %	0.00225896903119 %	0.000260929877361 %	0.00579193074062 %
MSizeL1_8192_AssL1_2_MSizeLL_16777216_AssLL_4_Word_32.txt	128158186897	52359266912	20119603899	244574911	1019947563	1263792652	17046	234408	1253695	127913594940	51339084941	18854557552	1.2601436419 %	0.190838304537 %	3.15090479397 %	0.000750184944493 %	1.33007499659e-05 %	0.00205315422736 %
MSizeL1_8192_AssL1_2_MSizeLL_8388608_AssLL_1_Word_32.txt	128158187028	52359266946	20119603919	244574904	1019947563	1263792652	336445	1428407	2464348	127913275679	51337890976	18853346919	1.26014363725 %	0.19083829888 %	3.15090479162 %	0.00210788577365 %	0.000262523220562 %	0.00537088251175 %
MSizeL1_8192_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32.txt	128158186967	52359266929	20119603909	244574906	892879760	1201237270	37667	475840	1704628	127913574394	51465911329	18916662011	1.16563308971 %	0.190838300532 %	2.88927932484 %	0.00110554601641 %	2.93910212772e-05 %	0.00300841883267 %
MSizeL1_8192_AssL1_1_MSizeLL_8388608_AssLL_4_Word_32.txt	128158187166	52359266979	20119603944	244574906	1554767689	1402989945	23195	432148	1664970	127913589065	50804067142	18714949029	1.59608228435 %	0.190838300235 %	4.08085500827 %	0.0010567903159 %	1.80987266697e-05 %	0.0028934197971 %
MSizeL1_16384_AssL1_1_MSizeLL_16777216_AssLL_2_Word_32.txt	128158187139	52359267008	20119603959	244574914	912906376	914637187	16416	237906	1294158	127913595809	51446122726	19203672614	1.03276956738 %	0.190838306518 %	2.52148459077 %	0.000771781651215 %	1.28091699535e-05 %	0.00211380776157 %
MSizeL1_32768_AssL1_2_MSizeLL_8388608_AssLL_2_Word_32.txt	128158187181	52359266998	20119603949	244574920	269027158	469470292	27186	478668	1734876	127913585075	52089761172	19648398781	0.489975470719 %	0.190838311137 %	1.01891411987 %	0.00111680764307 %	2.12128468715e-05 %	0.00305405419687 %
MSizeL1_32768_AssL1_1_MSizeLL_16777216_AssLL_1_Word_32.txt	128158186863	52359266900	20119603897	244574906	725081404	605885586	273246	758675	1718667	127913338711	51633426821	19511999644	0.78526963781 %	0.190838300687 %	1.83635171929 %	0.00137092720162 %	0.000213209945216 %	0.00341801958662 %
