../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_2_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Misc	17287974135	5859880749	3206037069	67132584	244315554	103957530	12159	51577	69598	1761899251091	-5501581378572	-2277442782118	1.57625928171 %	0.388319553672 %	3.84156453866 %	0.000505936657241 %	7.03321274376e-05 %	0.00133659936515 %
Inter/Intra	436313676789	150310450971	74874844935	121998888	1796570751	320970768	10992	376618	27761	50711685200409	-178140423831	5492056093856	0.338555386999 %	0.0279612798063 %	0.940355146405 %	6.27923877656e-05 %	2.51928843508e-06 %	0.000179576112363 %
Inter	362602928196	185337406350	25691582763	397171890	3014364576	1737143736	31463	1733686	605417	69423816439894	-74988306964116	-51877639013362	0.897558180889 %	0.109533558368 %	2.25159032983 %	0.000413255596223 %	8.67698453417e-06 %	0.00110842733495 %
Intra	11369858400	3940227216	2010968190	92100438	162544125	99238989	5872	12959	362051	469335348284	-150591490181	-116895870122	2.04308326712 %	0.810040325568 %	4.39883243854 %	0.00219895396819 %	5.16453221616e-05 %	0.00630142306572 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_1_MSizeLL_8388608_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	88581301221	34463316237	22176581910	645530235	2233524706	1008913766	51776	97334	145173	-424105836200791	-1958517536832790	-839681236453533	2.67727351373 %	0.728743229217 %	5.72465448929 %	0.00020264465607 %	5.84502590121e-05 %	0.000428155784056 %
InvQuant	7258189197	2750229531	401573865	25053483	23114532	37408566	684	0	5	77727179726	27851951986	1063849011	0.82206188175 %	0.345175391823 %	1.92026882377 %	6.61864063634e-06 %	9.42383811492e-06 %	1.58639336652e-07 %
Quant	223893713610	84388110597	50189135157	512714391	2851207926	3962463826	28277	35814	341879	9190963137844	-1249838763973	-3996646082006	2.04378791409 %	0.22899901151 %	5.06301917076 %	0.000113250457086 %	1.2629653394e-05 %	0.000280651456258 %
InvTransf	26456001096	13902998634	2547864081	94492503	112146469	140191167	9711	3177	5379	1666800334443	403601698479	-375812968904	0.808332532827 %	0.357168502742 %	1.53388694789 %	4.25736079907e-05 %	3.67062276901e-05 %	5.20094304367e-05 %
Transf	159470962014	68531944026	29643686751	1120875546	2682986261	1427924601	62585	29424	2662030	-90361840886470	-457633355046349	-227908469741227	2.03060570347 %	0.702871251195 %	4.18730272417 %	0.00106892118004 %	3.9245389386e-05 %	0.00274146850771 %
Misc	40338606315	13673055081	7480753161	156642696	505247693	218344273	26297	108314	150581	-2381700155841	-67716424598864	-28154379860127	1.43145242928 %	0.388319553672 %	3.42062269697 %	0.00046378403264 %	6.51906508486e-05 %	0.00122386946614 %
Inter/Intra	1018065245841	350724385599	174707971515	284664072	3422542195	565905082	23666	809933	64507	255049359572801	-92182733824918	13411678023296	0.276845998388 %	0.0279612798063 %	0.759079113229 %	5.81864201331e-05 %	2.3246054314e-06 %	0.000166422944488 %
Inter	846073499124	432453948150	59947026447	926734410	5225203184	3742916082	68776	3637244	1299820	275841126993632	-865182428374402	-607364002938761	0.739263532497 %	0.109533558368 %	1.82130412584 %	0.000373995925831 %	8.12884460643e-06 %	0.00100265114301 %
Intra	26529669600	9193863504	4692259110	214901022	318778661	208904821	13213	31304	827591	1080692341043	-2940988445012	-1986786919155	1.83736223719 %	0.810040325568 %	3.80007793873 %	0.00215783967659 %	4.98046157348e-05 %	0.00618527593249 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	139199187633	54156639801	34848914430	1014404655	2863611429	1394821461	78050	141497	351737	-1747150201229319	-7021912707632888	-3111847295954376	2.31057317299 %	0.728743229217 %	4.78445747211 %	0.000250338356396 %	5.60707295259e-05 %	0.000554160922048 %
InvQuant	11405725881	4321789263	631044645	39369759	28921388	53922205	1068	0	5	186088792582	65549848409	-1231554760	0.747091147243 %	0.345175391823 %	1.67265033593 %	6.55925713412e-06 %	9.36371793556e-06 %	1.00952305142e-07 %
Quant	351832978530	132609888081	78868640961	805694043	3896447781	5416840531	42978	106021	557530	21446775390082	-7124658188076	-15745202867353	1.79633865436 %	0.22899901151 %	4.40389308276 %	0.000125424208542 %	1.22154552366e-05 %	0.000313767550307 %
InvTransf	41573716008	21847569282	4003786413	148488219	136939993	211328250	15051	5455	41330	3574967875667	543503068190	-1617543347395	0.736753331443 %	0.357168502742 %	1.34719527714 %	9.17106922368e-05 %	3.62031625874e-05 %	0.000180976969069 %
Transf	250597226022	107693054898	46582936323	1761375858	3404550877	2026113273	97230	57407	4216828	-450711183564427	-1599579440540375	-829114862761472	1.77636842886 %	0.702871251195 %	3.52009674805 %	0.00107971207129 %	3.87993121646e-05 %	0.0027705120973 %
Misc	63389238495	21486229413	11755469253	246152808	676137667	313910425	45508	158138	230373	-33810612754154	-248263754636657	-105204824019179	1.27930136695 %	0.388319553672 %	2.97833182939 %	0.000449151185688 %	7.17913656647e-05 %	0.00116874592933 %
Inter/Intra	1599816814893	551138320227	274541098095	447329256	4493373963	752879155	37960	1288847	117564	603272121508636	-410789102401728	2966315825232	0.234738866877 %	0.0279612798063 %	0.635386204571 %	5.95495049722e-05 %	2.37277166027e-06 %	0.000170333784371 %
Inter	1329544070052	679570489950	94202470131	1456296930	7005038733	5471819753	108739	5694655	2010952	470813098932621	-3061164789880526	-2248981166226436	0.66243724633 %	0.109533558368 %	1.61247021151 %	0.000371524876566 %	8.17866834574e-06 %	0.000995848575426 %
Intra	41689480800	14447499792	7373550030	337701606	414088160	287444968	21439	39850	1298814	-658771226765	-11581531834178	-7838855712298	1.6363187708 %	0.810040325568 %	3.21493756589 %	0.00214153934266 %	5.14254425543e-05 %	0.00613473692109 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_2_MSizeLL_8388608_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	113890244427	44309978019	28512748170	829967445	2614449496	1218400756	64962	117634	192378	-935568996904089	-4000634556687827	-1747122125311163	2.49731857493 %	0.728743229217 %	5.26326114468 %	0.00020082911153 %	5.70391259821e-05 %	0.000425707764902 %
InvQuant	9331957539	3536009397	516309255	32211621	27489697	46612466	876	0	5	126287980920	44843259201	433950121	0.794318515868 %	0.345175391823 %	1.82863613066 %	6.58235071832e-06 %	9.38709800531e-06 %	1.2338615073e-07 %
Quant	287863346070	108498999339	64528888059	659204217	3476994694	4770690134	35597	46548	451001	14745443923510	-3462320176645	-8648799664047	1.93253600811 %	0.22899901151 %	4.76667949429 %	0.000115677183961 %	1.23659369927e-05 %	0.000287554224629 %
InvTransf	34014858552	17875283958	3275825247	121490361	130288936	175963526	12381	4066	7590	2569723056970	505179344526	-855155040986	0.7753744571 %	0.357168502742 %	1.44792624837 %	4.35721532266e-05 %	3.63987990162e-05 %	5.5108220978e-05 %
Transf	205034094018	88112499462	38113311537	1441125702	3141040155	1738585612	80535	35775	3427848	-225730586711755	-921243174186160	-468324227061887	1.90809433115 %	0.702871251195 %	3.86579078271 %	0.00106990249841 %	3.92788333012e-05 %	0.00274398949992 %
Misc	51863922405	17579642247	9618111207	201397752	599250117	269058868	38269	132994	189431	-13330997325730	-140176183842696	-58704096238134	1.35300286185 %	0.388319553672 %	3.19257613122 %	0.000456218510525 %	7.37873231052e-05 %	0.0011854839428 %
Inter/Intra	1308941030367	450931352913	224624534805	365996664	4071792042	680362875	30172	1070296	92975	412018430972779	-216230476682779	11677302499718	0.257906753815 %	0.0279612798063 %	0.70344363855 %	6.01383146088e-05 %	2.30506946455e-06 %	0.000172194635729 %
Inter	1087808784588	556012219050	77074748289	1191515670	6380487625	4647946762	90481	4752316	1662674	384409790432021	-1746580964275437	-1258838265333146	0.710092406429 %	0.109533558368 %	1.74200938512 %	0.000378028186351 %	8.31773021894e-06 %	0.00101328732559 %
Intra	34109575200	11820681648	6032904570	276301314	376957011	250983654	17674	34492	1063262	663973385111	-6373365205628	-4300579368126	1.74015967144 %	0.810040325568 %	3.5171682447 %	0.00214657455313 %	5.18153623913e-05 %	0.00614864703705 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_4_MSizeLL_16777216_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	223562331653	86978845741	55969468630	1629195355	3437375844	1859581786	121334	278296	1036507	-7506955088573990	-25306558044838336	-11791637519473980	1.8897549253 %	0.728743229217 %	3.70550548519 %	0.000391840459637 %	5.42730070414e-05 %	0.000919775098983 %
InvQuant	18318287021	6941055483	1013495945	63230219	34539465	71862724	1692	5950	9	463293945630	160525256611	-17379640479	0.645656952252 %	0.345175391823 %	1.33762651437 %	2.91213300567e-05 %	9.2366715188e-06 %	7.49130866013e-05 %
Quant	565065086730	212979517221	126667817301	1293993463	4718444883	6709689565	65415	173922	1981323	50983929687852	-32448195448897	-61065223320940	1.40620683569 %	0.22899901151 %	3.36470606021 %	0.000245454792908 %	1.15765425145e-05 %	0.000634553780036 %
InvTransf	66769907528	35088520362	6430323633	238481079	162178218	302179254	23635	8342	127771	7053244882990	26527140460	-6953542950334	0.649041143346 %	0.357168502742 %	1.11842582143 %	0.000147520400552 %	3.53976826912e-05 %	0.000327834272111 %
Transf	402474332702	172961573018	74815018943	2828876378	4125710392	2685573025	155260	175619	11444575	-2134439012082683	-5662793987645269	-3137748833365264	1.4825291944 %	0.702871251195 %	2.74896162026 %	0.00181090922802 %	3.85763730466e-05 %	0.00468978683904 %
Misc	101806958795	34508186633	18879996073	395336328	855165246	437989094	71217	256974	352125	-205686612496567	-920996242430822	-408492860265234	1.08797907697 %	0.388319553672 %	2.42217336207 %	0.000438361660952 %	6.99529785026e-05 %	0.00114088730713 %
Inter/Intra	2569402763313	885161544607	440929642395	718437896	5569045310	931788355	63095	2559274	237749	1466739710339544	-1679638852126447	-95805196295879	0.18532364966 %	0.0279612798063 %	0.490225237052 %	7.34211896227e-05 %	2.45562902402e-06 %	0.000210922373017 %
Inter	2135328354932	1091431392950	151294876271	2338901130	9032981593	7567292334	169007	8499738	3655876	350887810141311	-11245978377078071	-8720172676182061	0.560653309795 %	0.109533558368 %	1.33579488405 %	0.000364843745032 %	7.91480146881e-06 %	0.000978140906897 %
Intra	66955832800	23203560272	11842368230	542369246	504221054	371915751	33909	52735	2076544	-15698499592066	-44239924677147	-30749083383504	1.39066819327 %	0.810040325568 %	2.49996744971 %	0.00212073592886 %	5.06438327805e-05 %	0.0060756815157 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	59054200814	22975544158	14784387940	430353490	1560219764	702990017	37457	59044	103657	-114548328013140	-618596713020335	-254996034438749	2.78220048043 %	0.728743229217 %	5.99368074902 %	0.000206744608436 %	6.3428171889e-05 %	0.000430882660429 %
InvQuant	4838792798	1833486354	267715910	16702322	16636879	25718697	456	0	5	35622834697	12909032214	917589179	0.850978962844 %	0.345175391823 %	2.01577814405 %	6.64265602326e-06 %	9.42383811492e-06 %	2.37959004978e-07 %
Quant	149262475740	56258740398	33459423438	341809594	2224619771	3009112223	20331	15946	248593	4272802333872	-42465925032	-1046047022859	2.3330515802 %	0.22899901151 %	5.83352553176 %	0.000119202124702 %	1.36209719819e-05 %	0.000294855566241 %
InvTransf	17637334064	9268665756	1698576054	62995002	91905237	97504194	6608	2129	4282	806256247732	243815699805	-90321432834	0.882391803716 %	0.357168502742 %	1.72704709426 %	4.551369703e-05 %	3.74659796998e-05 %	5.84559008643e-05 %
Transf	106313974676	45687962684	19762457834	747250364	1979347456	1020724690	43909	14274	1822902	-15911999675772	-146556437515113	-70606642575198	2.18166431161 %	0.702871251195 %	4.58373242258 %	0.00109515420694 %	4.13012495618e-05 %	0.00280697356176 %
Misc	26892404210	9115370054	4987168774	104428464	360660006	151480093	18361	74418	102702	1961347509520	-20584540215476	-8555553530377	1.50401126897 %	0.388319553672 %	3.63154539226 %	0.000476841740745 %	6.82757847034e-05 %	0.00125594406908 %
Inter/Intra	678710163894	233816257066	116471981010	189776048	2486525502	415942839	16513	612232	52461	117500900441483	-19037623686041	9677736910805	0.300510125485 %	0.0279612798063 %	0.828594290503 %	6.62008802634e-05 %	2.43299730554e-06 %	0.000189756014547 %
Inter	564048999416	288302632100	39964684298	617822940	3857747756	2584731891	49093	2677508	912667	146916772029985	-277734077226905	-187430042169884	0.791233160469 %	0.109533558368 %	1.96257115015 %	0.000407845058473 %	8.70367646265e-06 %	0.0010936742163 %
Intra	17686446400	6129242336	3128172740	143267348	232225564	147587632	9035	20970	559015	846422467122	-786631729496	-542995325948	1.94137185743 %	0.810040325568 %	4.10279967876 %	0.0021861009066 %	5.10843150493e-05 %	0.00626508582837 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_1_MSizeLL_16777216_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	97017615623	37745536831	24288637330	707009305	2397427030	1091621749	54976	103462	160231	-565511618323476	-2537391924291720	-1095580260225491	2.63817093143 %	0.728743229217 %	5.62439788421 %	0.000200355494542 %	5.66659978675e-05 %	0.000425076989525 %
InvQuant	7949445311	3012156153	439818995	27439529	25250498	40815193	732	0	5	92649316000	33097924859	950851066	0.820119039871 %	0.345175391823 %	1.91385187226 %	6.46410684222e-06 %	9.20818964547e-06 %	1.44844611726e-07 %
Quant	245216924430	92425073511	54969052791	561544333	3084435727	4243293358	29017	36895	371464	10909820072006	-1845192881029	-5302847861051	2.00943743262 %	0.22899901151 %	4.97152041865 %	0.000111401856668 %	1.18331962883e-05 %	0.000277052424167 %
InvTransf	28975620248	15227093742	2790517803	103491789	120514224	152372911	10285	3397	6171	1953465382825	443320978930	-508007234615	0.800921557508 %	0.357168502742 %	1.51455776654 %	4.22465092153e-05 %	3.54953575177e-05 %	5.31035979775e-05 %
Transf	174658672682	75058795838	32466895013	1227625598	2886987484	1536353891	65364	30466	2857015	-126905754199631	-589766329896762	-295957045480023	2.00257976815 %	0.702871251195 %	4.11375303892 %	0.00104642403393 %	3.74238501852e-05 %	0.00268538707089 %
Misc	44180378345	14975250803	8193205843	171561048	540748644	236582647	27489	111202	160054	-5139775590602	-88225578017153	-36740987348324	1.40892168235 %	0.388319553672 %	3.3551276327 %	0.00044357857124 %	6.22199289136e-05 %	0.00117079874652 %
Inter/Intra	1115023840683	384126708037	191346825945	311774936	3694075741	617135841	24628	847118	70623	303458865553859	-126337487286222	13504387243849	0.273469014935 %	0.0279612798063 %	0.749158966907 %	5.5745073262e-05 %	2.20874201084e-06 %	0.000159475796159 %
Inter	926651927612	473640038450	65656267061	1014994830	5679238623	4059619788	71186	3938818	1367510	313301874474195	-1114517719544653	-790734915779650	0.733576602367 %	0.109533558368 %	1.80584556421 %	0.000366828369413 %	7.68206463277e-06 %	0.000983935537065 %
Intra	29056304800	10069469552	5139140930	235367786	343574476	224415239	14092	31747	906500	1022805913134	-3902418801339	-2634443175436	1.81488543665 %	0.810040325568 %	3.73465883469 %	0.00215145334388 %	4.8498940581e-05 %	0.00616918291852 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_2_MSizeLL_16777216_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	118108401628	45951088316	29568775880	860706980	2659303080	1247667784	67272	124957	198618	-1048125293834430	-4433312889660129	-1941012102710805	2.46228401815 %	0.728743229217 %	5.17343470568 %	0.000201854310029 %	5.69578447195e-05 %	0.000428463429384 %
InvQuant	9677585596	3666972708	535431820	33404644	27837547	47945822	900	0	5	135481186062	48038282954	236016305	0.786657713907 %	0.345175391823 %	1.80333350812 %	6.52017754995e-06 %	9.29984024499e-06 %	1.18979502489e-07 %
Quant	298524951480	112517480796	66918846876	683619188	3563416633	4897881825	35967	47791	474248	15784968921434	-3964174976199	-9650280729290	1.91331767758 %	0.22899901151 %	4.71548797714 %	0.000116747114116 %	1.20482391243e-05 %	0.000290932726262 %
InvTransf	35274668128	18537331512	3397152108	125990004	131705915	181785725	12668	4176	7665	2731444426209	516376842091	-960876478130	0.768201643569 %	0.357168502742 %	1.4292182366 %	4.2841047719e-05 %	3.59124569338e-05 %	5.39834910415e-05 %
Transf	212627949352	91375925368	39524915668	1494500728	3191112404	1787208937	81861	36661	3529397	-256401495967370	-1018803614134815	-519540674514038	1.88421531182 %	0.702871251195 %	3.80312403007 %	0.00106189615021 %	3.84996423328e-05 %	0.0027242437648 %
Misc	53784808420	18230740108	9974337548	208856928	613363734	276854881	38868	134716	196045	-16009279869982	-155582914903238	-65271253444931	1.34050136621 %	0.388319553672 %	3.15623529159 %	0.000450822677882 %	7.22657589416e-05 %	0.00117270019262 %
Inter/Intra	1357420327788	467632514132	232943962020	379552096	4149931347	692252222	30653	1093500	94851	441558720115018	-243501041515656	10751872673017	0.253729046372 %	0.0279612798063 %	0.691171304466 %	5.92325506855e-05 %	2.25818041564e-06 %	0.000169624736264 %
Inter	1128097998832	576605264200	79929368596	1235645880	6492953339	4792174206	91693	4902740	1701912	400870927565979	-1934204964988516	-1398690080520754	0.701588282266 %	0.109533558368 %	1.7188929542 %	0.000375222602194 %	8.12810589993e-06 %	0.00100598683909 %
Intra	35372892800	12258484672	6256345480	286534696	384539385	257491920	18107	34942	1101348	515031016270	-7112067402033	-4799910679480	1.72314944877 %	0.810040325568 %	3.467659707 %	0.00214222634909 %	5.11889149196e-05 %	0.0061371883548 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_2_MSizeLL_8388608_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	105453930025	41027757425	26400692750	768488375	2519395811	1159399770	62337	115376	181032	-735146417862833	-3216496515007268	-1397159642553125	2.57243332192 %	0.728743229217 %	5.45585071502 %	0.000207508133325 %	5.91130173956e-05 %	0.000439588926085 %
InvQuant	8640701425	3274082775	478064125	29825575	26769467	43881013	804	0	5	108839431222	38762936837	744681323	0.810758369384 %	0.345175391823 %	1.88293480727 %	6.52795853531e-06 %	9.30480015979e-06 %	1.33257042788e-07 %
Quant	266540135250	100462036425	59748970425	610374275	3301856391	4514433767	34321	43112	435138	12762355465062	-2578487008713	-6847915439307	1.97460852513 %	0.22899901151 %	4.87874729189 %	0.000120110047621 %	1.28764847995e-05 %	0.000298512573763 %
InvTransf	31495239400	16551188850	3033171525	112491075	127492784	164174481	11384	3748	7511	2255027647104	477529066648	-667011335164	0.791232393715 %	0.357168502742 %	1.48928665228 %	4.4328851635e-05 %	3.61451451612e-05 %	5.74897509258e-05 %
Transf	189846383350	81585647650	35290103275	1334375650	3037639146	1640335971	74967	34329	3130010	-171753089904077	-743950493314789	-375830899360616	1.96019461758 %	0.702871251195 %	4.00251983836 %	0.00105610441439 %	3.94882423764e-05 %	0.00270743843351 %
Misc	48022150375	16277446525	8905658525	186479400	571826281	253772782	31242	127676	177476	-8756091927561	-112311909331922	-46887174158774	1.38252159237 %	0.388319553672 %	3.27838470022 %	0.000459521653257 %	6.50574781763e-05 %	0.00121173302257 %
Inter/Intra	1211982435525	417529030475	207985680375	338885800	3919196343	656175696	28136	998243	88903	355802712828700	-167534629540869	12951752542204	0.26744301882 %	0.0279612798063 %	0.731457143955 %	6.06957133076e-05 %	2.32148578851e-06 %	0.000173800229018 %
Inter	1007230356100	514826128750	71365507675	1103255250	6155987833	4369253782	82143	4531293	1565445	349729759501663	-1407319035130694	-1007091094249280	0.729781371134 %	0.109533558368 %	1.79552913433 %	0.000387774301408 %	8.15533403084e-06 %	0.00104005885126 %
Intra	31582940000	10945075600	5586022750	255834550	362555015	238254526	15567	34057	987258	887829562717	-5043189781193	-3403122906816	1.78044520971 %	0.810040325568 %	3.63441997791 %	0.00215505086573 %	4.92892681935e-05 %	0.00617814363194 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_4_MSizeLL_8388608_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	63272358015	24616654455	15840415650	461093025	1656405579	748873290	38688	60178	109172	-143675941545925	-752560480089631	-312484847759001	2.76331600969 %	0.728743229217 %	5.94526213282 %	0.000200558321559 %	6.11451844277e-05 %	0.000418591854429 %
InvQuant	5184420855	1964449665	286838475	17895345	17451720	27381288	492	0	5	40664088880	14710080015	976577495	0.843609574315 %	0.345175391823 %	1.99143802179 %	6.68396248877e-06 %	9.48997031222e-06 %	2.22095071313e-07 %
Quant	159924081150	60277221855	35849382255	366224565	2296543530	3139927374	20924	16485	255153	4867715397700	-144317159131	-1330930213994	2.26622922845 %	0.22899901151 %	5.65553204998 %	0.00011425940911 %	1.30837081255e-05 %	0.000282583580805 %
InvTransf	18897143640	9930713310	1819902915	67494645	94186392	103766664	7041	2288	4331	913828639478	267339172918	-116607194686	0.866124317631 %	0.357168502742 %	1.68461851029 %	4.45709574213e-05 %	3.72595993031e-05 %	5.63289607392e-05 %
Transf	113907830010	48951388590	21174061965	800625390	2079070056	1081280775	45899	14710	1963010	-22283566797904	-178150090808033	-86264256806926	2.15231517302 %	0.702871251195 %	4.50671019721 %	0.00109959404831 %	4.02948594455e-05 %	0.00282025995462 %
Misc	28813290225	9766467915	5343395115	111887640	383060889	160830969	19275	76822	108739	1746319176884	-25236007912946	-10488353775470	1.4930155269 %	0.388319553672 %	3.59958165683 %	0.000466350853298 %	6.68962129958e-05 %	0.00122807863732 %
Inter/Intra	727189461315	250517418285	124791408225	203331480	2616966183	433646907	17329	647863	54359	134051562925513	-25693468386711	10427127863852	0.295142822981 %	0.0279612798063 %	0.812827430244 %	6.52654981823e-05 %	2.3830103325e-06 %	0.00018710511195 %
Inter	604338213660	308895677250	42819304605	661953150	4015455639	2751352470	51072	2775043	962468	164411169800175	-337954810047638	-228955298321715	0.777023840708 %	0.109533558368 %	1.92394650729 %	0.00039627324272 %	8.45089700529e-06 %	0.00106265333944 %
Intra	18949764000	6567045360	3351613650	153500730	244933050	157130904	9620	21167	596969	909706915898	-993123262686	-680584803029	1.92447188337 %	0.810040325568 %	4.05361202149 %	0.00217454205858 %	5.07658037324e-05 %	0.00623205212899 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_1_MSizeLL_8388608_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	156071816437	60721080989	39073025270	1137362795	3029453266	1510435354	89004	225434	934163	-2489052524380204	-9626693705022017	-4308494431792875	2.21883842724 %	0.728743229217 %	4.54925525183 %	0.000487990345429 %	5.702759283e-05 %	0.00116198946358 %
InvQuant	12788238109	4845642507	707534905	44141851	30072969	58512880	1188	5950	5	232073191422	81393793640	-3045076401	0.723650253973 %	0.345175391823 %	1.59522814468 %	3.89446495655e-05 %	9.28978636364e-06 %	0.000107235904027 %
Quant	394479400170	148683813909	88428476229	903353927	4111155310	5742128692	48974	155811	1740094	26509798676524	-10490119821214	-22016004002589	1.70309997647 %	0.22899901151 %	4.15553491397 %	0.000307932962046 %	1.24148434567e-05 %	0.000799581075657 %
InvTransf	46612954312	24495759498	4489093857	166486791	141191090	233965614	16724	6026	125814	4278456235936	527810988077	-2313872126661	0.716480426768 %	0.357168502742 %	1.29431982769 %	0.000196518926388 %	3.58784381871e-05 %	0.000454858261262 %
