../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_2_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
InvQuant	13479494223	5107569129	745780035	46527897	31351710	60456861	1260	5950	5	256871914832	89919796353	-4189388890	0.715551588718 %	0.345175391823 %	1.56847931719 %	3.73199112804e-05 %	9.34753173342e-06 %	0.000101736626898 %
Quant	415802610990	156720776823	93208393863	952183869	4204793446	5888984256	50250	157214	1764031	29210575159720	-12470366024624	-25645128918596	1.65922100687 %	0.22899901151 %	4.03865530154 %	0.000296139534609 %	1.20850611978e-05 %	0.000768715790448 %
InvTransf	49132573464	25819854606	4731747579	175486077	146732601	244330928	17721	6344	125895	4634905859142	506193314091	-2725173268287	0.710993872228 %	0.357168502742 %	1.28000988829 %	0.00018819294895 %	3.60677219828e-05 %	0.000432838183737 %
Transf	296160358026	127273610334	55052561109	2081626014	3723330093	2278593476	116468	161152	9829437	-787625030166933	-2511353562183387	-1330265371959612	1.68939961423 %	0.702871251195 %	3.29186069202 %	0.00211229708206 %	3.93259924374e-05 %	0.00547951449917 %
Misc	74914554585	25392816579	13892827299	290907864	745265581	354692971	52485	202254	269289	-66529447030005	-396613887719841	-170367058852165	1.2179194386 %	0.388319553672 %	2.79989951397 %	0.000458867854043 %	7.00598172021e-05 %	0.00120029342389 %
Inter/Intra	1890692599419	651345287541	324457661385	528661848	4924760509	830317914	44297	2108640	207787	827123766040460	-684731918181103	-14267290378449	0.21921332739 %	0.0279612798063 %	0.589778748807 %	8.2355753225e-05 %	2.34289804771e-06 %	0.000237386759545 %
Inter	1571279355516	803128760850	111330191973	1721078190	7752820665	6225353708	128029	6661036	2941677	515747070225409	-4856250760756969	-3637856246533277	0.631573022403 %	0.109533558368 %	1.52857318853 %	0.00039146284898 %	8.14807370507e-06 %	0.00105009776222 %
Intra	49269386400	17074317936	8714195490	399101898	453542034	321084820	25265	47789	1537671	-3205861183442	-18759902082407	-12790868146175	1.56376444681 %	0.810040325568 %	3.00376699193 %	0.00214597664434 %	5.12793071846e-05 %	0.00614793095596 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_2_MSizeLL_16777216_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	42181572010	16411102970	10560277100	307395350	1167953508	510357741	24573	46685	76422	-36626690461136	-237577794449057	-94490709432124	2.87147047129 %	0.728743229217 %	6.22256349006 %	0.000213555597495 %	5.82552968727e-05 %	0.000456435672481 %
InvQuant	3456280570	1309633110	191225650	11930230	13391549	18948407	324	0	5	18747070755	6848105330	615674545	0.893059142641 %	0.345175391823 %	2.15476345023 %	6.6368923304e-06 %	9.37423896695e-06 %	3.3314260697e-07 %
Quant	106616054100	40184814570	23899588170	244149710	1850106813	2348891635	13906	12342	193289	2266411889644	174353077850	-284004854147	2.60289177911 %	0.22899901151 %	6.55229395682 %	0.000128609497633 %	1.304306384e-05 %	0.000320875269501 %
